Date,Category,Item,Cost,Sale,Profit,Payment
2026-02-04,Repairing,Tanka,5.0,50.0,45.0,Cash
2026-02-04,Accessories,Jazz Cash ,1.0,151.0,150.0,Cash
2026-02-04,Accessories,Jazz cash ,0.0,80.0,80.0,Cash
2026-02-04,Repairing,Adopter,200.0,750.0,550.0,Cash
2026-02-04,Accessories,Jazz cash ,1.0,20.0,19.0,Cash
2026-02-04,Accessories,Jazz cash ,1.0,41.0,40.0,Cash
2026-02-04,Accessories,Jazz Cash ,1.0,51.0,50.0,Cash
2026-02-04,Accessories,Jazz cash ,1.0,140.0,139.0,Cash
2026-02-04,Accessories,Glass gum,40.0,300.0,260.0,Cash
2026-02-04,Accessories,Jazz cash ,1.0,41.0,40.0,Cash
2026-02-04,Ghar ka Kharcha,گھر کے خرچے اور فروٹ اور روزے کے سامان کے لیے ہزار روپیہ صد لے گیا ہے,1000.0,0.0,0.0,Cash
2026-02-04,Accessories,Jazz cash ,1.0,51.0,50.0,Cash
2026-02-04,Accessories,Jazz cash ,1.0,91.0,90.0,Cash
2026-02-04,Accessories,Glass,50.0,500.0,450.0,Cash
2026-02-04,Accessories,Jazz Cash ,1.0,80.0,79.0,Cash
2026-02-04,Accessories,Jazz cadh,1.0,20.0,19.0,Cash
2026-02-04,Accessories,Software ,10.0,500.0,490.0,Cash
2026-02-04,Ghar ka Kharcha,دودھ ,100.0,0.0,0.0,Cash
2026-02-05,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
2026-02-05,Accessories,Jazz cash ,1.0,51.0,50.0,Cash
2026-02-05,Accessories,Jazz cash ,1.0,70.0,69.0,Cash
2026-02-05,Accessories,Glass,120.0,500.0,380.0,Cash
2026-02-05,Accessories,Cash cash,1.0,11.0,10.0,Cash
2026-02-05,Accessories,Jazz cash ,1.0,41.0,40.0,Cash
2026-02-05,Accessories,Cable adopter ,250.0,800.0,550.0,Cash
2026-02-05,Accessories,Easypaisa,1.0,60.0,59.0,Cash
2026-02-05,Accessories,Easypaisa,1.0,100.0,99.0,Cash
2026-02-05,Accessories,Easypaisa,1.0,40.0,39.0,Cash
2026-02-05,Accessories,Jazz cash ,1.0,131.0,130.0,Cash
2026-02-05,Accessories,Jazz ,1.0,351.0,350.0,Cash
2026-02-05,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
2026-02-05,Accessories,Cable ,110.0,220.0,110.0,Cash
2026-02-05,Ghar ka Kharcha,گھر کا راشن اور مالٹے لے کے گیا تھا,620.0,0.0,0.0,Cash
2026-02-05,Accessories,Hand free ,120.0,250.0,130.0,Cash
2026-02-05,Accessories,Jazz cash ,1.0,201.0,200.0,EasyPaisa
2026-02-05,Accessories,Jazz cash ,1.0,801.0,800.0,Cash
2026-02-05,Ghar ka Kharcha,اسد کے بال ,300.0,0.0,0.0,Cash
2026-02-05,Accessories,Glass,40.0,160.0,120.0,Cash
2026-02-05,Accessories,Jazz cash ,1.0,601.0,600.0,Cash
2026-02-05,Accessories,Hand,120.0,650.0,530.0,Cash
2026-02-05,Ghar ka Kharcha, دودھ کھنڈ پتی  گھی ,1200.0,0.0,0.0,Cash
2026-02-06,Accessories,Jazzcash ,1.0,71.0,70.0,Cash
2026-02-06,Accessories,Jazz cash ,1.0,80.0,79.0,Cash
2026-02-06,Ghar ka Kharcha,اسد لے گیا ہے گھر کے لیے,500.0,0.0,0.0,Cash
2026-02-06,Accessories,Jazz cash ,1.0,201.0,200.0,Cash
2026-02-06,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
2026-02-06,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
2026-02-06,Accessories,Jazz cash ,1.0,211.0,210.0,Cash
2026-02-06,Accessories,Jazz cash ,1.0,201.0,200.0,Cash
2026-02-06,Accessories,Airpods,700.0,1500.0,800.0,Cash
2026-02-06,Accessories,Easy paisa,1.0,20.0,19.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,100.0,99.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,100.0,99.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,10.0,9.0,Cash
2026-02-07,Repairing,Hand,1.0,501.0,500.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,200.0,199.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,20.0,19.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,10.0,9.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,10.0,9.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,250.0,249.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,20.0,19.0,Cash
2026-02-07,Accessories,Hand free,110.0,250.0,140.0,Cash
2026-02-07,Accessories,Jack repairing,10.0,340.0,330.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,20.0,19.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,20.0,19.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,100.0,99.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,40.0,39.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,20.0,19.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,10.0,9.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,100.0,99.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,90.0,89.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,100.0,99.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,30.0,29.0,Cash
2026-02-07,Accessories,Easypaisa,1.0,20.0,19.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,10.0,9.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,100.0,99.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,20.0,19.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,100.0,99.0,Cash
2026-02-08,Accessories,Hand free,90.0,200.0,110.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,10.0,9.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,60.0,59.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,20.0,19.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,20.0,19.0,Cash
2026-02-08,Accessories,Jazz cash ,1.0,231.0,230.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,240.0,239.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,101.0,100.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,21.0,20.0,Cash
2026-02-08,Accessories,Easypaisa,1.0,11.0,10.0,Cash
2026-02-08,Accessories,Adaptor,1.0,330.0,329.0,Cash
2026-02-08,Accessories,Battery,1800.0,3500.0,1700.0,Cash
2026-02-08,Accessories,Easypaisa,10.0,300.0,290.0,Cash
2026-02-08,Accessories,Cable,30.0,100.0,70.0,Cash
2026-02-08,Ghar ka Kharcha,Kharacha ,1000.0,0.0,0.0,Cash
2026-02-07,Ghar ka Kharcha,Kharacha ,1000.0,0.0,0.0,Cash
2026-02-09,Accessories,Easypaisa,1.0,11.0,10.0,Cash
2026-02-09,Accessories,Easypaisa,1.0,21.0,20.0,Cash
2026-02-09,Accessories,Easypaisa,1.0,91.0,90.0,Cash
2026-02-09,Accessories,Cable ,80.0,250.0,170.0,Cash
2026-02-09,Accessories,Adopter ,450.0,1100.0,650.0,Cash
2026-02-09,Accessories,Easypaisa,1.0,101.0,100.0,Cash
2026-02-09,Accessories,Jazz cash ,1.0,171.0,170.0,Cash
2026-02-09,Accessories,Handfree,130.0,400.0,270.0,Cash
2026-02-09,Accessories,Cable ,80.0,250.0,170.0,Cash
2026-02-09,Accessories,Jazz cash ,1.0,30.0,29.0,Cash
2026-02-09,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
2026-02-09,Accessories,Airpods ,600.0,1500.0,900.0,Cash
2026-02-09,Accessories,Jazz cash ,1.0,41.0,40.0,Cash
2026-02-10,Accessories,Jazz Cash ,1.0,51.0,50.0,Cash
2026-02-10,Accessories,Jazz cash ,1.0,200.0,199.0,Cash
2026-02-10,Accessories,Jazz cash ,1.0,20.0,19.0,Cash
2026-02-10,Accessories,Jazz cash ,1.0,310.0,309.0,Cash
2026-02-10,Accessories,Jazz cash ,1.0,61.0,60.0,Cash
2026-02-10,Accessories,Jazz cash ,1.0,241.0,240.0,Cash
2026-02-10,Accessories,Jazz cash ,1.0,181.0,180.0,Cash
2026-02-10,Accessories,Jazz cash ,1.0,231.0,230.0,Cash
2026-02-10,Ghar ka Kharcha,صبح ناشتہ کیا,600.0,0.0,0.0,Cash
2026-02-10,Accessories,Airpods ,600.0,1000.0,400.0,Cash
2026-02-09,Ghar ka Kharcha,کھایا پیا تھا جو رات کو تم سے,800.0,0.0,0.0,Cash
2026-02-10,Accessories,Cable ,80.0,300.0,220.0,Cash
2026-02-10,Accessories,Adopter ,600.0,1220.0,620.0,Cash
2026-02-10,Accessories,Jazz cash ,1.0,250.0,249.0,Cash
2026-02-10,Accessories,Easypaisa,1.0,301.0,300.0,Cash
2026-02-11,Accessories,Jazz Cash ,1.0,310.0,309.0,Cash
2026-02-11,Ghar ka Kharcha,Shop rent ,13500.0,0.0,0.0,Cash
2026-02-11,Accessories,Jazz ,1.0,50.0,49.0,Cash
2026-02-11,Accessories,Jazz cash ,1.0,180.0,179.0,Cash
2026-02-11,Accessories,Jazz Cash ,1.0,140.0,139.0,Cash
2026-02-11,Accessories,Jazz Cash ,1.0,41.0,40.0,Cash
2026-02-11,Accessories,Jazz Cash ,1.0,60.0,59.0,Cash
2026-02-11,Accessories,Jazz cash ,1.0,41.0,40.0,Cash
2026-02-11,Accessories,Easypaisa,1.0,71.0,70.0,Cash
2026-02-11,Accessories,Easypaisa,1.0,60.0,59.0,Cash
2026-02-11,Accessories,Jazz cash ,1.0,300.0,299.0,Cash
2026-02-11,Accessories,Jazz cash ,1.0,30.0,29.0,Cash
2026-02-11,Accessories,Airpods ,600.0,1400.0,800.0,Cash
2026-02-12,Accessories,Jazz cash ,1.0,151.0,150.0,Cash
2026-02-12,Accessories,Jazz cash ,1.0,151.0,150.0,Cash
2026-02-12,Accessories,Easypisa ,1.0,51.0,50.0,Cash
2026-02-12,Accessories,Easypaisa,1.0,91.0,90.0,Cash
2026-02-12,Accessories,Cable,80.0,210.0,130.0,Cash
2026-02-12,Accessories,Mobile ,2000.0,2620.0,620.0,Cash
2026-02-12,Accessories,Jazzy ,1.0,351.0,350.0,Cash
2026-02-12,Accessories,Easypaisa ,1.0,151.0,150.0,Cash
2026-02-12,Ghar ka Kharcha,گھر کا خرچہ جو ہوا ہے,2500.0,0.0,0.0,Cash
2026-02-13,Accessories,Jazz cash ,1.0,70.0,69.0,Cash
